Team,Year,Sport,Gold_Count,Silver_Count,Bronze_Count
China,2024,Boxing,3,2,0
China,2024,Breaking,0,0,1
China,2024,Canoe Sprint,2,0,0
China,2024,Cycling BMX Freestyle,1,0,0
China,2024,Diving,8,2,1
China,2024,Golf,0,0,1
China,2024,Hockey,0,1,0
China,2024,Judo,0,0,1
China,2024,Rhythmic Gymnastics,1,0,0
China,2024,Shooting,5,2,3
China,2024,Sport Climbing,0,2,0
China,2024,Swimming,2,3,7
China,2024,Table Tennis,5,0,0
China,2024,Taekwondo,0,1,1
China,2024,Tennis,0,1,0
China,2024,Trampoline Gymnastics,0,1,1
China,2024,Weightlifting,5,0,0
China,2024,Wrestling,0,1,4
China,1992,Badminton,0,1,0
China,1992,Table Tennis,1,1,0
China,1996,Table Tennis,1,1,0
China,2000,Badminton,0,0,1
China,2000,Table Tennis,1,1,0
China,2004,Badminton,1,0,0
China,2004,Table Tennis,2,0,0
China,2004,Tennis,1,0,0
China,2008,Badminton,1,1,1
China,2008,Beach Volleyball,0,1,0
China,2008,Tennis,0,0,1
China,2012,Badminton,3,0,0
China,2016,Badminton,1,0,1
China,1992,Badminton,0,0,2
China,1992,Table Tennis,1,0,0
China,1996,Badminton,1,0,1
China,1996,Table Tennis,1,1,0
China,2000,Badminton,2,0,0
China,2000,Table Tennis,1,1,0
China,2004,Badminton,1,0,0
China,2004,Table Tennis,0,0,1
China,2008,Badminton,0,0,1
China,2008,Beach Volleyball,0,0,1
China,2012,Badminton,0,1,0
Chinese Taipei,1992,Baseball,0,1,0
Chinese Taipei,1996,Table Tennis,0,1,0
Chinese Taipei,2000,Table Tennis,0,0,1
Chinese Taipei,2000,Taekwondo,0,0,2
Chinese Taipei,2000,Weightlifting,0,1,1
Chinese Taipei,2004,Archery,0,1,1
Chinese Taipei,2004,Taekwondo,2,1,0
Chinese Taipei,2008,Taekwondo,0,0,2
Chinese Taipei,2008,Weightlifting,0,0,2
Chinese Taipei,2012,Taekwondo,0,0,1
Chinese Taipei,2012,Weightlifting,0,1,0
Chinese Taipei,2016,Archery,0,0,1
Chinese Taipei,2016,Weightlifting,1,0,1
Chinese Taipei,2020,Archery,0,1,0
Chinese Taipei,2020,Artistic Gymnastics,0,1,0
Chinese Taipei,2020,Badminton,1,1,0
Chinese Taipei,2020,Boxing,0,0,1
Chinese Taipei,2020,Golf,0,0,1
Chinese Taipei,2020,Judo,0,1,0
Chinese Taipei,2020,Karate,0,0,1
Chinese Taipei,2020,Table Tennis,0,0,1
Chinese Taipei,2020,Taekwondo,0,0,1
Chinese Taipei,2020,Weightlifting,1,0,1
Chinese Taipei,2024,Artistic Gymnastics,0,0,1
Chinese Taipei,2024,Badminton,1,0,0
Chinese Taipei,2024,Boxing,1,0,2
Chinese Taipei,2024,Shooting,0,0,1
Chinese Taipei,2024,Weightlifting,0,0,1
Clearwater,2008,Equestrianism,0,0,1
Colombia,1992,Athletics,0,0,1
Colombia,2000,Weightlifting,1,0,0
Colombia,2004,Cycling,0,0,1
Colombia,2004,Weightlifting,0,0,1
Colombia,2008,Weightlifting,0,1,0
Colombia,2008,Wrestling,0,0,1
Colombia,2012,Athletics,0,1,0
Colombia,2012,Cycling,1,1,1
Colombia,2012,Judo,0,0,1
Colombia,2012,Taekwondo,0,0,1
Colombia,2012,Weightlifting,0,1,0
Colombia,2012,Wrestling,0,0,1
Colombia,2016,Athletics,1,0,0
Colombia,2016,Boxing,0,1,1
Colombia,2016,Cycling,1,0,1
Colombia,2016,Judo,0,1,0
Colombia,2016,Weightlifting,1,0,1
Colombia,2020,Athletics,0,2,0
Colombia,2020,Cycling BMX Racing,0,1,1
Colombia,2020,Weightlifting,0,1,0
Colombia,2024,Artistic Gymnastics,0,1,0
Colombia,2024,Weightlifting,0,2,0
Colombia,2024,Wrestling,0,0,1
Costa Rica,1996,Swimming,1,0,0
Costa Rica,2000,Swimming,0,0,2
Cote d'Ivoire,2016,Taekwondo,1,0,1
Croatia,1992,Basketball,0,1,0
Croatia,1992,Tennis,0,0,2
Croatia,1996,Handball,1,0,0
Croatia,1996,Water Polo,0,1,0
Croatia,2000,Rowing,0,0,1
Croatia,2000,Weightlifting,1,0,0
Croatia,2004,Handball,1,0,0
Croatia,2004,Rowing,0,1,0
Croatia,2004,Swimming,0,1,0
Croatia,2004,Tennis,0,0,1
Croatia,2004,Weightlifting,0,0,1
Croatia,2008,Athletics,0,1,0
Croatia,2008,Gymnastics,0,1,0
Croatia,2008,Shooting,0,0,1
Croatia,2008,Taekwondo,0,0,2
Croatia,2012,Athletics,1,0,0
Croatia,2012,Handball,0,0,1
Croatia,2012,Rowing,0,1,0
Croatia,2012,Shooting,1,0,0
Croatia,2012,Taekwondo,0,0,1
Croatia,2012,Water Polo,1,0,0
Croatia,2016,Athletics,2,0,1
Croatia,2016,Boxing,0,0,1
Croatia,2016,Rowing,1,1,0
Croatia,2016,Sailing,1,1,0
Croatia,2016,Shooting,1,0,0
Croatia,2016,Water Polo,0,1,0
Croatia,2020,Artistic Gymnastics,0,1,0
Croatia,2020,Rowing,1,0,1
Croatia,2020,Sailing,0,1,0
Croatia,2020,Taekwondo,1,0,1
Croatia,2020,Tennis,1,1,0
Croatia,2024,Athletics,0,0,1
Croatia,2024,Judo,1,0,0
Croatia,2024,Rowing,1,0,0
Croatia,2024,Shooting,0,0,1
Croatia,2024,Taekwondo,0,0,1
Croatia,2024,Tennis,0,1,0
Croatia,2024,Water Polo,0,1,0
Cuba,1992,Athletics,2,1,4
Cuba,1992,Baseball,1,0,0
Cuba,1992,Boxing,7,2,0
Cuba,1992,Fencing,0,1,1
Cuba,1992,Judo,1,1,3
Cuba,1992,Volleyball,1,0,0
Cuba,1992,Weightlifting,0,1,0
Cuba,1992,Wrestling,2,0,3
Cuba,1996,Athletics,0,1,1
Cuba,1996,Baseball,1,0,0
Cuba,1996,Boxing,4,3,0
Cuba,1996,Fencing,0,1,1
Cuba,1996,Judo,1,1,4
Cuba,1996,Swimming,0,1,1
Cuba,1996,Volleyball,1,0,0
Cuba,1996,Weightlifting,1,0,0
Cuba,1996,Wrestling,1,1,1
Cuba,2000,Athletics,2,2,2
Cuba,2000,Baseball,0,1,0
Cuba,2000,Boxing,4,0,2
Cuba,2000,Canoeing,0,2,0
Cuba,2000,Fencing,0,0,1
Cuba,2000,Judo,2,2,1
Cuba,2000,Taekwondo,1,1,0
Cuba,2000,Volleyball,1,0,0
Cuba,2000,Wrestling,1,3,1
Cuba,2004,Athletics,2,1,2
Cuba,2004,Baseball,1,0,0
Cuba,2004,Boxing,5,2,1
Cuba,2004,Canoeing,0,1,0
Cuba,2004,Judo,0,1,5
Cuba,2004,Shooting,0,0,1
Cuba,2004,Taekwondo,0,1,0
Cuba,2004,Volleyball,0,0,1
Cuba,2004,Wrestling,1,1,1
Cuba,2008,Athletics,1,2,2
Cuba,2008,Baseball,0,1,0
Cuba,2008,Boxing,0,4,4
Cuba,2008,Cycling,0,1,0
Cuba,2008,Judo,0,3,3
Cuba,2008,Shooting,0,0,1
Cuba,2008,Taekwondo,0,0,1
Cuba,2008,Wrestling,1,0,0
Cuba,2012,Athletics,0,1,1
Cuba,2012,Boxing,2,0,2
Cuba,2012,Judo,1,2,0
Cuba,2012,Shooting,1,0,0
Cuba,2012,Taekwondo,0,0,1
Cuba,2012,Weightlifting,0,0,1
Cuba,2012,Wrestling,1,0,1
Cuba,2016,Athletics,0,0,1
Cuba,2016,Boxing,3,0,3
Cuba,2016,Judo,0,1,0
Cuba,2016,Wrestling,2,1,0
Cuba,2020,Athletics,0,1,2
Cuba,2020,Boxing,4,0,1
Cuba,2020,Canoe Sprint,1,0,0
Cuba,2020,Judo,0,1,0
Cuba,2020,Shooting,0,1,0
Cuba,2020,Taekwondo,0,0,1
Cuba,2020,Wrestling,2,0,1
Cuba,2024,Boxing,1,0,1
Cuba,2024,Canoe Sprint,0,0,1
Cuba,2024,Taekwondo,0,0,1
Cuba,2024,Wrestling,1,1,3
Cyprus,2012,Sailing,0,1,0
Cyprus,2024,Sailing,0,1,0
Czech Republic,1996,Athletics,1,0,2
Czech Republic,1996,Canoeing,3,1,0
Czech Republic,1996,Shooting,0,0,1
Czech Republic,1996,Tennis,0,1,1
Czech Republic,2000,Athletics,1,1,0
Czech Republic,2000,Boxing,0,1,0
Czech Republic,2000,Canoeing,1,0,0
Czech Republic,2000,Shooting,0,1,1
Czech Republic,2000,Triathlon,0,0,1
Czech Republic,2004,Athletics,1,0,2
Czech Republic,2004,Modern Pentathlon,0,0,1
Czech Republic,2004,Rowing,0,1,0
Czech Republic,2004,Sailing,0,1,0
Czech Republic,2004,Shooting,0,1,1
Czech Republic,2008,Athletics,1,0,0
Czech Republic,2008,Canoeing,0,1,0
Czech Republic,2008,Rowing,0,1,0
Czech Republic,2008,Shooting,2,1,0
Czech Republic,2012,Athletics,1,0,1
Czech Republic,2012,Canoeing,0,1,1
Czech Republic,2012,Cycling,1,0,0
Czech Republic,2012,Modern Pentathlon,1,0,0
Czech Republic,2012,Rowing,1,1,0
Czech Republic,2012,Shooting,0,0,1
Czech Republic,2016,Athletics,0,0,1
Czech Republic,2016,Canoeing,0,1,2
Czech Republic,2016,Cycling,0,1,0
Czech Republic,2016,Judo,1,0,0
Czech Republic,2016,Rowing,0,0,1
Czech Republic,2016,Tennis,0,0,2
Czech Republic,2020,Athletics,0,1,1
Czech Republic,2020,Canoe Slalom,1,1,0
Czech Republic,2020,Canoe Sprint,0,0,1
Czech Republic,2020,Fencing,0,0,1
Czech Republic,2020,Judo,1,0,0
Czech Republic,2020,Shooting,1,1,0
Czech Republic,2020,Tennis,1,1,0
Czech Republic,1996,Canoeing,0,1,0
Czech Republic,2000,Canoeing,0,0,1
Czech Republic,2004,Canoeing,0,0,1
Czech Republic,2012,Tennis,0,1,0
Czech Republic,2016,Tennis,0,0,1
Czechia,2024,Athletics,0,0,1
Czechia,2024,Canoe Sprint,2,0,0
Czechia,2024,Fencing,0,0,1
Czechia,2024,Tennis,1,0,0
Czechoslovakia,1992,Athletics,2,0,0
Czechoslovakia,1992,Canoeing,1,0,0
Czechoslovakia,1992,Rowing,0,1,0
Czechoslovakia,1992,Shooting,1,0,1
Czechoslovakia,1992,Canoeing,0,1,0
C̫te d'Ivoire,2024,Taekwondo,0,0,1
DPR Korea,2024,Boxing,0,0,1
DPR Korea,2024,Diving,0,1,1
DPR Korea,2024,Table Tennis,0,1,0
DPR Korea,2024,Wrestling,0,0,2
Denmark,1992,Badminton,0,0,1
Denmark,1992,Boxing,0,0,1
Denmark,1992,Canoeing,0,1,0
Denmark,1992,Cycling,0,0,1
Denmark,1992,Sailing,1,0,1
Denmark,1996,Badminton,1,0,0
Denmark,1996,Cycling,0,1,0
Denmark,1996,Handball,1,0,0
Denmark,1996,Rowing,1,0,1
Denmark,1996,Sailing,1,0,0
Denmark,2000,Athletics,0,1,0
Denmark,2000,Badminton,0,1,0
Denmark,2000,Handball,1,0,0
Denmark,2000,Rowing,0,0,1
Denmark,2000,Sailing,1,0,0
Denmark,2000,Shooting,0,1,0
Denmark,2004,Athletics,0,1,1
Denmark,2004,Handball,1,0,0
Denmark,2004,Rowing,1,0,0
Denmark,2004,Sailing,0,0,2
Denmark,2004,Table Tennis,0,0,1
Denmark,2008,Canoeing,0,1,0
Denmark,2008,Cycling,0,1,0
Denmark,2008,Rowing,1,0,1
Denmark,2008,Sailing,1,0,0
Denmark,2008,Swimming,0,0,1
Denmark,2012,Badminton,0,1,0
Denmark,2012,Cycling,1,0,0
Denmark,2012,Rowing,1,1,1
Denmark,2012,Sailing,0,1,1
Denmark,2012,Shooting,0,1,0
Denmark,2016,Athletics,0,1,0
Denmark,2016,Badminton,0,1,1
Denmark,2016,Canoeing,0,1,0
Denmark,2016,Cycling,0,1,2
Denmark,2016,Handball,1,0,0
Denmark,2016,Rowing,0,1,1
Denmark,2016,Sailing,0,0,2
Denmark,2016,Swimming,1,0,1
Denmark,2016,Wrestling,0,1,0
Denmark,2020,Badminton,1,0,0
Denmark,2020,Canoe Sprint,0,0,2
Denmark,2020,Cycling Track,1,2,0
Denmark,2020,Handball,0,1,0
Denmark,2020,Rowing,0,0,1
Denmark,2020,Sailing,1,0,0
Denmark,2020,Shooting,0,1,0
Denmark,2020,Swimming,0,0,1
Denmark,2024,Badminton,1,0,0
Denmark,2024,Canoe Sprint,0,0,1
Denmark,2024,Cycling Track,0,0,1
Denmark,2024,Equestrian,0,1,0
Denmark,2024,Handball,1,0,1
Denmark,2024,Sailing,0,1,0
Denmark,2024,Taekwondo,0,0,1
Denmark,2024,Wrestling,0,0,1
Denmark,2012,Badminton,0,0,1
Denmark,2004,Badminton,0,0,1
Digby,2008,Equestrianism,0,0,1
Dominica,2024,Athletics,1,0,0
Dominican Republic,2004,Athletics,1,0,0
Dominican Republic,2008,Boxing,1,0,0
Dominican Republic,2008,Taekwondo,0,1,0
Dominican Republic,2012,Athletics,1,1,0
Dominican Republic,2016,Taekwondo,0,0,1
Dominican Republic,2020,Athletics,0,2,0
Dominican Republic,2020,Baseball/Softball,0,0,1
Dominican Republic,2020,Weightlifting,0,1,1
Dominican Republic,2024,Athletics,1,0,0
Dominican Republic,2024,Boxing,0,0,2
Don Schufro,2008,Equestrianism,0,0,1
EOR,2024,Boxing,0,0,1
Ecuador,1996,Athletics,1,0,0
Ecuador,2008,Athletics,0,1,0
Ecuador,2020,Cycling Road,1,0,0
Ecuador,2020,Weightlifting,1,1,0
Ecuador,2024,Athletics,1,1,0
Ecuador,2024,Weightlifting,0,0,2
Ecuador,2024,Wrestling,0,1,0
Egypt,2004,Boxing,0,1,2
Egypt,2004,Taekwondo,0,0,1
Egypt,2004,Wrestling,1,0,0
Egypt,2008,Judo,0,0,1
Egypt,2012,Fencing,0,1,0
Egypt,2012,Wrestling,0,1,0
Egypt,2016,Taekwondo,0,0,1
Egypt,2016,Weightlifting,0,0,2
Egypt,2020,Karate,1,0,1
Egypt,2020,Modern Pentathlon,0,1,0
Egypt,2020,Taekwondo,0,0,2
Egypt,2020,Wrestling,0,0,1
Egypt,2024,Fencing,0,0,1
Egypt,2024,Modern Pentathlon,1,0,0
Egypt,2024,Weightlifting,0,1,0
Elvis Va,2008,Equestrianism,1,0,0
Eritrea,2004,Athletics,0,0,1
Estonia,1992,Cycling,1,0,0
Estonia,1992,Sailing,0,0,1
Estonia,2000,Athletics,1,0,0
Estonia,2000,Judo,0,0,2
Estonia,2004,Athletics,0,0,1
Estonia,2004,Judo,0,0,1
Estonia,2004,Rowing,0,1,0
Estonia,2008,Athletics,1,0,0
Estonia,2008,Rowing,0,1,0
Estonia,2012,Athletics,0,0,1
Estonia,2012,Wrestling,0,1,0
Estonia,2016,Rowing,0,0,1
Estonia,2020,Fencing,1,0,1
Ethiopia,1992,Athletics,1,0,2
Ethiopia,1996,Athletics,2,0,1
Ethiopia,2000,Athletics,4,1,3
Ethiopia,2004,Athletics,2,3,2
Ethiopia,2008,Athletics,4,1,2
Ethiopia,2012,Athletics,3,1,3
Ethiopia,2016,Athletics,1,2,5
Ethiopia,2020,Athletics,1,1,2
Ethiopia,2024,Athletics,1,3,0
Fiji,2016,Rugby Sevens,1,0,0
Fiji,2020,Rugby Sevens,1,0,1
Fiji,2024,Rugby Sevens,0,1,0
Finland,1992,Archery,0,1,0
Finland,1992,Athletics,0,1,0
Finland,1992,Boxing,0,0,1
Finland,1992,Canoeing,1,0,0
Finland,1992,Swimming,0,0,1
Finland,1996,Athletics,1,0,1
Finland,1996,Swimming,0,1,0
Finland,1996,Wrestling,0,1,0
Finland,2000,Athletics,1,0,0
Finland,2000,Sailing,1,0,0
Finland,2000,Shooting,0,1,0
Finland,2000,Wrestling,0,0,1
Finland,2004,Shooting,0,1,0
Finland,2004,Wrestling,0,1,0
Finland,2008,Athletics,0,0,1
Finland,2008,Rowing,0,1,0
Finland,2008,Shooting,1,0,1
Finland,2012,Athletics,0,0,1
Finland,2012,Sailing,0,1,1
Finland,2016,Boxing,0,0,1
Finland,2020,Boxing,0,0,1
Finland,2020,Swimming,0,0,1
France,1992,Archery,1,0,0
France,1992,Athletics,1,0,0
France,1992,Canoeing,0,1,2
France,1992,Cycling,0,1,1
France,1992,Equestrianism,0,0,1
France,1992,Fencing,2,0,3
France,1992,Handball,0,0,1
France,1992,Judo,2,1,4
France,1992,Sailing,2,0,0
France,1992,Shooting,0,1,0
France,1992,Swimming,0,0,3
France,1992,Table Tennis,0,1,0
France,1996,Athletics,3,0,1
France,1996,Canoeing,0,0,2
France,1996,Cycling,5,3,1
France,1996,Equestrianism,0,0,1
France,1996,Fencing,2,2,3
France,1996,Judo,3,0,3
France,1996,Rowing,0,1,3
France,1996,Shooting,1,0,1
France,1996,Wrestling,0,1,0
France,2000,Basketball,0,1,0
France,2000,Boxing,1,0,1
France,2000,Canoeing,1,1,1
France,2000,Cycling,5,2,1
France,2000,Fencing,1,4,1
France,2000,Gymnastics,0,2,0
France,2000,Judo,2,2,2
France,2000,Rowing,2,0,1
France,2000,Shooting,1,1,0
France,2000,Swimming,0,1,0
France,2000,Synchronized Swimming,0,0,1
France,2000,Taekwondo,0,0,1
France,2000,Tennis,0,0,1
France,2004,Athletics,0,0,2
France,2004,Boxing,0,1,0
France,2004,Canoeing,2,0,1
France,2004,Cycling,1,1,1
France,2004,Equestrianism,1,0,0
France,2004,Fencing,3,1,2
France,2004,Gymnastics,1,0,0
France,2004,Judo,0,1,0
France,2004,Rowing,1,1,0
France,2004,Sailing,1,0,1
France,2004,Swimming,1,2,3
France,2004,Taekwondo,0,1,1
France,2004,Tennis,0,1,0
France,2004,Wrestling,0,0,2
France,2008,Archery,0,0,1
France,2008,Athletics,0,1,1
France,2008,Boxing,0,2,1
France,2008,Canoeing,0,1,1
France,2008,Cycling,2,3,1
France,2008,Fencing,2,2,0
France,2008,Gymnastics,0,1,1
France,2008,Handball,1,0,0
France,2008,Judo,0,2,2
France,2008,Rowing,0,0,2
France,2008,Sailing,0,1,2
France,2008,Shooting,0,0,1
France,2008,Swimming,1,2,3
France,2008,Taekwondo,0,0,1
France,2008,Weightlifting,0,1,0
France,2008,Wrestling,1,0,1
France,2012,Athletics,1,1,1
France,2012,Basketball,0,1,0
France,2012,Canoeing,2,0,0
France,2012,Cycling,1,3,0
France,2012,Gymnastics,0,0,1
France,2012,Handball,1,0,0
France,2012,Judo,2,0,5
France,2012,Rowing,0,1,0
France,2012,Sailing,0,0,1
France,2012,Shooting,0,1,1
France,2012,Swimming,4,2,1
France,2012,Taekwondo,0,1,1
France,2012,Wrestling,0,0,1
France,2016,Archery,0,1,0
France,2016,Athletics,0,3,3
France,2016,Boxing,2,2,2
France,2016,Canoeing,1,1,1
France,2016,Cycling,0,0,1
France,2016,Equestrianism,2,1,0
France,2016,Fencing,1,1,1
France,2016,Handball,0,2,0
France,2016,Judo,2,2,1
France,2016,Modern Pentathlon,0,1,0
France,2016,Rowing,1,0,1
France,2016,Sailing,1,0,2
France,2016,Shooting,0,1,1
France,2016,Swimming,0,2,1
France,2016,Taekwondo,0,1,0
France,2020,Athletics,0,1,0
France,2020,Basketball,0,1,1
France,2020,Cycling Track,0,0,2
France,2020,Equestrian,0,0,1
France,2020,Fencing,2,2,1
France,2020,Handball,1,0,0
France,2020,Judo,2,3,3
France,2020,Karate,1,0,0
France,2020,Rowing,1,1,0
France,2020,Rugby Sevens,0,1,0
France,2020,Sailing,0,2,1
France,2020,Shooting,1,0,0
France,2020,Swimming,0,1,0
France,2020,Taekwondo,0,0,1
France,2020,Triathlon,0,0,1
France,2020,Volleyball,1,0,0
France,2024,3x3 Basketball,0,0,0
France,2024,Archery,0,1,1
France,2024,Athletics,0,1,0
France,2024,Basketball,0,1,0
France,2024,Boxing,0,2,1
France,2024,Breaking,0,1,0
France,2024,Canoe Slalom,1,2,0
France,2024,Cycling BMX Freestyle,0,0,1
France,2024,Cycling BMX Racing,0,0,1
France,2024,Cycling Mountain Bike,1,1,0
France,2024,Cycling Road,0,1,1
France,2024,Cycling Track,1,0,0
France,2024,Equestrian,0,1,1
France,2024,Fencing,1,4,2
France,2024,Football,0,1,0
France,2024,Handball,0,0,0
France,2024,Judo,2,2,6
France,2024,Modern Pentathlon,0,1,0
France,2024,Rugby Sevens,1,0,0
France,2024,Sailing,0,1,1
France,2024,Shooting,0,1,0
France,2024,Surfing,0,0,1
France,2024,Swimming,4,1,2
France,2024,Table Tennis,0,0,2
France,2024,Taekwondo,1,0,1
France,2024,Triathlon,1,0,1
France,2024,Volleyball,0,0,0
France,1992,Canoeing,0,0,1
France,1996,Canoeing,1,0,0
France,2000,Table Tennis,0,0,1
France,2012,Tennis,0,1,0
France,2012,Tennis,0,0,1
Gabon,2012,Taekwondo,0,1,0
Georgia,1996,Judo,0,0,1
Georgia,1996,Wrestling,0,0,1
Georgia,2000,Boxing,0,0,1
Georgia,2000,Judo,0,0,1
Georgia,2000,Weightlifting,0,0,1
Georgia,2000,Wrestling,0,0,3
Georgia,2004,Judo,1,1,0
Georgia,2004,Weightlifting,1,0,0
Georgia,2004,Wrestling,0,1,0
Georgia,2008,Judo,1,0,0
Georgia,2008,Shooting,0,0,1
Georgia,2008,Wrestling,2,0,2
Georgia,2012,Judo,1,0,0
Georgia,2012,Wrestling,0,3,3
Georgia,2016,Judo,0,1,1
Georgia,2016,Weightlifting,1,0,1
Georgia,2016,Wrestling,1,0,2
Georgia,2020,Judo,1,3,0
Georgia,2020,Weightlifting,1,0,1
Georgia,2020,Wrestling,0,2,0
Georgia,2024,Boxing,0,0,1
Georgia,2024,Judo,1,2,0
Georgia,2024,Weightlifting,1,0,0
Georgia,2024,Wrestling,1,1,0
Germany,1992,Athletics,4,1,5
Germany,1992,Boxing,2,1,1
Germany,1992,Canoeing,7,2,2
Germany,1992,Cycling,4,2,0
Germany,1992,Diving,0,0,1
Germany,1992,Equestrianism,3,2,2
Germany,1992,Fencing,2,1,0
Germany,1992,Gymnastics,0,1,2
Germany,1992,Hockey,1,1,0
Germany,1992,Judo,0,0,2
Germany,1992,Rowing,4,3,3
Germany,1992,Shooting,2,0,1
Germany,1992,Swimming,1,3,7
Germany,1992,Table Tennis,0,1,0
Germany,1992,Tennis,1,1,0
Germany,1992,Weightlifting,1,0,2
Germany,1992,Wrestling,1,2,0
Germany,1996,Archery,0,1,0
Germany,1996,Athletics,3,1,3
Germany,1996,Boxing,0,1,3
Germany,1996,Canoeing,5,2,1
Germany,1996,Cycling,1,0,1
Germany,1996,Diving,0,2,0
Germany,1996,Equestrianism,4,0,0
Germany,1996,Fencing,0,0,1
Germany,1996,Gymnastics,1,0,0
Germany,1996,Judo,1,0,4
Germany,1996,Rowing,2,1,1
Germany,1996,Sailing,1,0,0
Germany,1996,Shooting,2,2,0
Germany,1996,Swimming,0,5,7
Germany,1996,Table Tennis,0,0,1
Germany,1996,Tennis,0,0,1
Germany,1996,Weightlifting,0,2,1
Germany,1996,Wrestling,0,1,2
Germany,2000,Archery,0,0,1
Germany,2000,Athletics,2,1,2
Germany,2000,Boxing,0,0,1
Germany,2000,Canoeing,4,1,3
Germany,2000,Cycling,3,4,3
Germany,2000,Diving,0,0,2
Germany,2000,Equestrianism,2,1,1
Germany,2000,Fencing,0,2,3
Germany,2000,Football,0,0,1
Germany,2000,Judo,0,0,1
Germany,2000,Rowing,2,1,3
Germany,2000,Sailing,0,2,1
Germany,2000,Swimming,0,0,3
Germany,2000,Taekwondo,0,1,0
Germany,2000,Tennis,0,1,0
Germany,2000,Triathlon,0,1,0
Germany,2000,Weightlifting,0,2,0
Germany,2004,Athletics,0,2,0
Germany,2004,Boxing,0,0,2
Germany,2004,Canoeing,4,3,1
Germany,2004,Cycling,1,1,4
Germany,2004,Diving,0,1,0
Germany,2004,Equestrianism,1,1,2
Germany,2004,Fencing,0,1,1
Germany,2004,Football,0,0,1
Germany,2004,Handball,0,1,0
Germany,2004,Hockey,1,0,1
Germany,2004,Judo,1,0,3
Germany,2004,Rowing,2,2,0
Germany,2004,Shooting,2,1,0
Germany,2004,Swimming,0,1,4
Germany,2004,Tennis,0,1,0
Germany,2004,Trampolining,1,0,1
Germany,2008,Athletics,0,0,1
Germany,2008,Canoeing,3,2,3
Germany,2008,Cycling,1,1,1
Germany,2008,Diving,0,1,1
Germany,2008,Equestrianism,2,1,1
Germany,2008,Fencing,2,0,0
Germany,2008,Football,0,0,1
Germany,2008,Gymnastics,0,1,1
Germany,2008,Hockey,1,0,0
Germany,2008,Judo,1,0,0
Germany,2008,Modern Pentathlon,1,0,0
Germany,2008,Rowing,0,1,1
Germany,2008,Sailing,0,0,1
Germany,2008,Shooting,0,1,3
Germany,2008,Swimming,2,0,1
Germany,2008,Table Tennis,0,1,0
Germany,2008,Triathlon,1,0,0
Germany,2008,Weightlifting,1,0,0
Germany,2008,Wrestling,0,1,0
Germany,2012,Athletics,1,4,3
Germany,2012,Canoeing,3,2,3
Germany,2012,Cycling,1,4,1
Germany,2012,Equestrianism,2,1,1
Germany,2012,Fencing,0,1,1
Germany,2012,Gymnastics,0,3,0
Germany,2012,Hockey,1,0,0
Germany,2012,Judo,0,2,2
Germany,2012,Rowing,2,1,0
Germany,2012,Swimming,0,1,0
Germany,2012,Table Tennis,0,0,2
Germany,2012,Taekwondo,0,0,1
Germany,2016,Archery,0,1,0
Germany,2016,Athletics,2,0,1
Germany,2016,Boxing,0,0,1
Germany,2016,Canoeing,4,2,1
Germany,2016,Cycling,1,0,1
Germany,2016,Diving,0,0,1
Germany,2016,Equestrianism,2,2,2
Germany,2016,Football,1,1,0
Germany,2016,Gymnastics,1,0,1
Germany,2016,Handball,0,0,1
Germany,2016,Hockey,0,0,2
Germany,2016,Judo,0,0,1
Germany,2016,Rowing,2,1,0
Germany,2016,Sailing,0,0,1
Germany,2016,Shooting,3,1,0
Germany,2016,Table Tennis,0,1,1
Germany,2016,Tennis,0,1,0
Germany,2016,Wrestling,0,0,1
Germany,2020,Archery,0,0,1
Germany,2020,Artistic Gymnastics,0,1,0
Germany,2020,Athletics,1,2,0
Germany,2020,Canoe Slalom,1,0,3
Germany,2020,Canoe Sprint,1,1,1
Germany,2020,Cycling Track,1,1,0
Germany,2020,Diving,0,0,2
Germany,2020,Equestrian,3,1,0
Germany,2020,Judo,0,1,2
Germany,2020,Marathon Swimming,1,0,0
Germany,2020,Rowing,0,2,0
Germany,2020,Sailing,0,1,2
Germany,2020,Swimming,0,0,2
Germany,2020,Table Tennis,0,1,1
Germany,2020,Tennis,1,0,0
Germany,2020,Wrestling,1,0,2
Germany,2024,3x3 Basketball,1,0,0
Germany,2024,Archery,0,1,0
Germany,2024,Athletics,1,2,1
Germany,2024,Beach Volleyball,0,0,0
Germany,2024,Boxing,0,0,1
Germany,2024,Canoe Slalom,0,1,1
Germany,2024,Canoe Sprint,2,1,1
Germany,2024,Cycling Track,0,1,1
Germany,2024,Equestrian,4,1,0
Germany,2024,Football,0,0,1
Germany,2024,Golf,0,1,0
Germany,2024,Handball,0,1,0
Germany,2024,Hockey,0,0,0
Germany,2024,Judo,0,1,0
Germany,2024,Rhythmic Gymnastics,1,0,0
Germany,2024,Rowing,1,0,1
Germany,2024,Swimming,1,0,1
Germany,1996,Canoeing,0,0,1
Germany,2000,Beach Volleyball,0,0,1
Germany,2004,Canoeing,0,1,0
Germany,2012,Beach Volleyball,1,0,0
Germany,2016,Beach Volleyball,1,0,0
Ghana,1992,Football,0,0,1
Ghana,2020,Boxing,0,0,1
Great Britain,1992,Archery,0,0,2
Great Britain,1992,Athletics,2,0,4
Great Britain,1992,Boxing,0,0,1
Great Britain,1992,Canoeing,0,1,0
Great Britain,1992,Cycling,1,0,0
Great Britain,1992,Hockey,0,0,1
Great Britain,1992,Judo,0,2,2
